bus_no,status
SG5773H,Pending TNT Investigation
SMB1416M,Pending TNT Investigation
SMB256P,Pending TNT Investigation
SMB1303E,Pending on-board video retrieval
SMB5059J,Pending TNT Investigation
SMB1385T,Pending TNT Investigation
SG6243P,Pending TNT Investigation
SMB1345J,Pending TNT-video retrieval
SMB5021S,Pending TNT Investigation
SMB3581E,Pending TNT Investigation
SMB279Z,Pending TNT Investigation
SMB5022P,Pending TNT Investigation
SG7001P,Pending TNT Investigation
SMB241G,Pending TNT Investigation
SMB65Z,Pending TNT Investigation
SMB65Z,Pending TNT Investigation
